auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
;308;01/143/03;21.04.2011 12:03;21.01.2013 21:20;;;Бра на четыре свечи;;Бронза, литье, чеканка, золочение, к. XIX в., высота 29 см, вес 2.470 гр;8000;8000;interjer_bra_01_143_03_1.jpg;interjer_bra_01_143_03_2.jpg;interjer_bra_01_143_03_3.jpg;;;;;;;;;;;;
;308;01/143/03;19.10.2010 23:42;20.04.2011 23:42;;;Бра на четыре свечи;;Бронза, литье, чеканка, золочение, к. XIX в., высота 29 см, вес 2.470 гр;0;0;interjer_bra_01_143_03_1.jpg;interjer_bra_01_143_03_2.jpg;interjer_bra_01_143_03_3.jpg;;;;;;;;;;;;
;312;01/133/03;23.12.2010 0:50;27.12.2010 14:09;;;Декоративное панно в венском стиле «На берегу моря»;;Бумага, лак, ХХ в., 31х46 см;360;360;interjer_panno_01_133_03_1.jpg;interjer_panno_01_133_03_2.jpg;;;;;;;;;;;;;
;311;01/133/02;23.12.2010 0:50;27.12.2010 14:08;;;Декоративное панно в венском стиле «Шлюпка у скалы, замок»;;Бумага, лак, ХХ в., 31х46 см;360;360;interjer_panno__01_133_02_1.jpg;interjer_panno__01_133_02_2.jpg;;;;;;;;;;;;;
;310;01/133/01;23.12.2010 0:50;27.12.2010 14:07;;;Декоративное панно в венском стиле «Шторм у пристани»;;Бумага, лак, ХХ в., 31х46 см;360;360;interjer_panno_01_133_01_1.jpg;interjer_panno_01_133_01_2.jpg;;;;;;;;;;;;;
;315;01/007/01;23.12.2010 0:50;30.06.2011 22:33;;;Декоративные рамки с литографиями;;Дерево, лепка, металл, поталь, Европа, 27х19 см;28000;28000;gravuri_rami_s_litografiyami_01_007_01_1.jpg;gravuri_rami_s_litografiyami_01_007_01_2.jpg;gravuri_rami_s_litografiyami_01_007_01_3.jpg;gravuri_rami_s_litografiyami_01_007_01_4.jpg;gravuri_rami_s_litografiyami_01_007_01_5.jpg;gravuri_rami_s_litografiyami_01_007_01_6.jpg;gravuri_rami_s_litografiyami_01_007_01_7.jpg;;;;;;;;
;297;01/041/05;23.12.2010 0:50;23.12.2010 12:09;;;Лампа настольная;;Обливная керамика, роспись подглазурная, бронза, литье, чеканка, золочение, Европа, н. ХХ в., высота 30 см;5400;5400;interjer_lampa_nastolnaya_01_041_05_1.jpg;interjer_lampa_nastolnaya_01_041_05_2.jpg;interjer_lampa_nastolnaya_01_041_05_3.jpg;interjer_lampa_nastolnaya_01_041_05_4.jpg;interjer_lampa_nastolnaya_01_041_05_5.jpg;;;;;;;;;;
;1001785;01/143/10;09.02.2012 15:41;09.02.2014 15:39;;;Люстра на 3 световые точки.;;Бронза, литье, чеканка, золочение, хрусталь, к. XIX - н. ХХ века, Россия(?) высота 90 см. ;0;0;8783862.jpg;;;;;;;;;;;;;;
;1000878;03/204/02;12.04.2011 19:48;09.06.2011 13:40;21.03.2011 15:00;31.03.2011 15:00;Парные декоративные картины;;1. Копия с картины худ. A. Veli (Франция, XIX в.) «Искушение» Дерево, бумага, печать, масло, Франция, к. XIX в., размер 26х16 см (утраты, царапины) 2. Копия с картины худ. P.A. Cot (Франция, XIX в.) «Весна» Дерево, бумага, печать, масло, Франция, к. XIX в., размер 26х16 см (утраты, царапины);4500;4500;6641930.jpg;5447285.jpg;4877410.jpg;1478585.jpg;6100701.jpg;5043483.jpg;;;;;;;;;
5;1001487;05/497/03;04.10.2011 19:14;04.10.2020 19:11;;;Парные панно «Охотничьи и рыбачьи трофеи» ;;Дерево, резьба. Западная Европа, начало ХХ в., 90х47 см;0;0;5125488.jpg;3034040.jpg;;;;;;;;;;;;;
;309;01/007/07;23.12.2010 0:50;23.12.2011 6:35;;;Парные подсвечники;;Бронза, латунь, монтировка, н. ХХ в., высота 34 см;0;0;interjer_podsvecgniki_01_007_08_1.jpg;interjer_podsvecgniki_01_007_08_2.jpg;;;;;;;;;;;;;
;309;01/007/07;23.12.2011 11:59;23.12.2020 6:35;;;Парные подсвечники;;Бронза, латунь, монтировка, н. ХХ в., высота 34 см;0;0;interjer_podsvecgniki_01_007_08_1.jpg;interjer_podsvecgniki_01_007_08_2.jpg;;;;;;;;;;;;;
;1001798;05/553/04;24.02.2012 17:18;24.02.2014 17:12;;;Термометр «Мишки под елью»;;"Дерево, резьба, н.ХХ в., Западная Европа, высота 36 см
";0;0;8331350.jpg;9362009.jpg;6315010.jpg;6041230.jpg;1998607.jpg;;;;;;;;;;
